"SAGDP1 Gross Domestic Product (GDP) summary, annual by state"
"Real Gross Domestic Product (GDP) (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"49000","Utah",80658.9,85724.8,89282.0,92498.4,93556.7,95383.1,97017.3,102846.7,110046.4,118482.3,123835.3,124225.5,121431.4,123902.2,127992.5,129512.5,133112.9,136993.7,141720.5,147962.3,154367.3,163327.0,171134.7,171370.1,182881.3
"50000","Vermont",20049.4,20678.0,21830.2,23016.8,23752.4,24570.1,25464.9,26855.2,26995.6,27128.8,26886.7,27758.4,27222.0,28403.7,29013.5,29241.3,28681.5,28912.2,29119.0,29408.1,29500.9,29616.4,29902.8,28648.5,29653.8
"51000","Virginia",298922.3,315091.0,332373.3,348327.0,360601.1,364932.4,377723.8,392941.3,412084.6,419870.6,424939.5,431216.7,427648.9,441242.4,444288.0,445973.6,449063.8,447678.1,455162.4,459965.8,466724.8,477819.8,487251.6,473817.5,492625.7
"53000","Washington",271270.7,288206.9,308949.5,311209.9,303673.8,307583.2,312556.4,319848.9,340428.0,353263.5,373180.6,381289.9,370136.6,380989.5,387745.2,400530.6,410873.9,424467.6,441952.1,458263.8,482824.1,515629.9,535980.5,532861.9,568302.8
"54000","West Virginia",58934.3,59847.4,61783.9,61665.7,61818.6,62834.1,63145.5,64159.8,65678.4,66861.4,67119.1,68483.9,68191.8,69153.5,70361.3,70322.2,70550.1,70532.5,70663.0,70011.4,71459.4,73114.2,72542.9,69711.6,72481.5
"55000","Wisconsin",209111.7,216955.9,225783.7,232411.7,236088.7,240543.3,247766.1,256167.4,263698.6,268246.4,269933.6,266626.9,258761.2,266830.8,272813.2,277107.1,278015.0,283981.1,289077.0,291920.3,292311.2,299416.0,303891.2,291715.8,302781.5
"56000","Wyoming",24960.3,25530.4,26597.7,27435.0,29130.5,29777.1,30673.2,31695.7,33484.0,37813.4,40632.2,42868.2,41546.4,40056.6,39767.9,38855.4,38849.6,39559.4,40418.2,38188.7,37429.1,37987.9,38628.4,36256.7,36660.9
"91000","New England",644303.8,669384.9,698204.9,747744.8,757420.4,761438.0,776351.7,808408.5,823541.0,845679.2,864737.2,871391.8,847918.0,871286.6,874676.4,886830.9,883832.2,892794.1,919157.9,930060.1,944633.4,968759.6,988892.2,948806.2,1003841.0
"92000","Mideast",2247518.1,2303815.3,2404257.5,2495474.9,2545358.3,2564149.5,2602139.6,2674645.1,2732262.5,2779648.4,2816894.3,2834463.4,2826401.0,2915024.2,2931297.8,3000390.3,3015840.4,3064347.2,3117788.1,3169514.5,3199418.3,3266795.5,3332614.5,3177941.7,3322693.7
"93000","Great Lakes",1886638.4,1952414.0,2028189.0,2086427.5,2066243.8,2103976.8,2147346.6,2203913.3,2245204.3,2264731.9,2280390.5,2232291.3,2120546.8,2190695.2,2239179.7,2272451.4,2296352.8,2350412.9,2377289.8,2397149.9,2422250.0,2477369.9,2498312.1,2394639.2,2518467.5
"94000","Plains",775779.2,799886.3,823040.5,859198.7,858189.8,878908.5,908826.1,943499.4,973678.4,987473.2,1007712.2,1018608.0,994034.3,1019543.5,1042277.3,1068680.0,1082005.4,1112700.8,1131523.3,1139110.9,1151080.2,1175709.2,1185380.0,1154563.6,1212805.5
"95000","Southeast",2559824.8,2679378.0,2805799.2,2875573.2,2915809.8,2988953.8,3095287.9,3238846.8,3393497.8,3478441.8,3491402.6,3465267.4,3344254.2,3406994.9,3429358.6,3463374.9,3504567.5,3566658.6,3659519.8,3731745.8,3828063.0,3912240.3,3997218.3,3870598.5,4094466.5
"96000","Southwest",1219650.3,1291419.2,1349497.5,1399177.5,1433412.4,1468710.1,1494711.2,1574754.0,1631070.8,1741493.8,1812222.9,1812205.1,1783063.6,1818423.8,1873580.3,1955419.7,2022737.7,2084949.4,2175132.2,2194018.1,2250967.9,2332375.8,2406074.0,2340500.9,2461192.8
"97000","Rocky Mountain",355337.6,380836.4,404324.4,430731.2,435650.9,440386.2,448009.9,462705.8,488569.6,509836.3,530341.5,538771.6,524740.5,530904.0,539570.0,545855.9,561827.6,581511.1,603077.3,615453.0,635294.5,662355.7,688174.4,674672.5,714148.4
"98000","Far West",1952513.2,2068915.1,2204996.1,2346005.0,2335553.1,2379318.6,2465192.6,2557365.9,2675247.4,2782329.5,2848735.3,2877635.3,2783389.3,2840235.3,2881974.3,2947739.8,3024136.0,3120257.1,3256304.5,3356107.1,3509554.5,3658837.3,3784764.2,3675675.2,3944428.4
"Legend / Footnotes:"
"Real GDP is in millions of chained 2012 dollars. Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"Last updated: March 31, 2022-- preliminary statistics for 2021."
