"TIME","GEO","UNIT","MOT_NRG","Value","Flag and Footnotes"
"2013","Italy","Number","Alternative Energy","184,648",""
"2013","Italy","Number","Petrol (excluding hybrids)  ","419,045","d"
"2013","Italy","Number","Hybrid electric-petrol",":",""
"2013","Italy","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Italy","Number","Diesel (excluding hybrids)  ","707,641",""
"2013","Italy","Number","Hybrid diesel-electric",":",""
"2013","Italy","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Italy","Number","Hydrogen and fuel cells ",":",""
"2013","Italy","Number","Bioethanol",":",""
"2013","Italy","Number","Biodiesel",":",""
"2013","Italy","Number","Bi-fuel",":",""
"2013","Italy","Number","Other","828",""
"2013","Cyprus","Number","Petroleum products","11,758","d"
"2013","Cyprus","Number","Liquefied petroleum gases (LPG)","0",""
"2013","Cyprus","Number","Diesel","2,998","d"
"2013","Cyprus","Number","Natural Gas","0",""
"2013","Cyprus","Number","Electricity","15",""
"2013","Cyprus","Number","Alternative Energy","15",""
"2013","Cyprus","Number","Petrol (excluding hybrids)  ","11,598",""
"2013","Cyprus","Number","Hybrid electric-petrol","160",""
"2013","Cyprus","Number","Plug-in hybrid petrol-electric  ","0",""
"2013","Cyprus","Number","Diesel (excluding hybrids)  ","2,998",""
"2013","Cyprus","Number","Hybrid diesel-electric","0",""
"2013","Cyprus","Number","Plug-in hybrid diesel-electric  ","0",""
"2013","Cyprus","Number","Hydrogen and fuel cells ","0",""
"2013","Cyprus","Number","Bioethanol","0",""
"2013","Cyprus","Number","Biodiesel","0",""
"2013","Cyprus","Number","Bi-fuel","0",""
"2013","Cyprus","Number","Other","0",""
"2013","Latvia","Number","Petroleum products","14,293",""
"2013","Latvia","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Latvia","Number","Diesel","41,502",""
"2013","Latvia","Number","Natural Gas",":",""
"2013","Latvia","Number","Electricity",":",""
"2013","Latvia","Number","Alternative Energy","11",""
"2013","Latvia","Number","Petrol (excluding hybrids)  ","14,923",""
"2013","Latvia","Number","Hybrid electric-petrol",":",""
"2013","Latvia","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Latvia","Number","Diesel (excluding hybrids)  ",":",""
"2013","Latvia","Number","Hybrid diesel-electric",":",""
