time,country,motor,value
2013,Hungary,Plug-in hybrid diesel-electric,0
2013,Hungary,Hydrogen and fuel cells,0
2013,Hungary,Bioethanol,0
2013,Hungary,Biodiesel,0
2013,Hungary,Bi-fuel,796
2013,Hungary,Other,857
2013,Malta,Petroleum products,7800
2013,Malta,Liquefied petroleum gases (LPG),0
2013,Malta,Diesel,5267
2013,Malta,Natural Gas,0
2013,Malta,Electricity,18
2013,Malta,Alternative Energy,27
2013,Malta,Petrol (excluding hybrids),7760
2013,Malta,Hybrid electric-petrol,40
2013,Malta,Plug-in hybrid petrol-electric,0
2013,Malta,Diesel (excluding hybrids),5266
2013,Malta,Hybrid diesel-electric,1
2013,Malta,Plug-in hybrid diesel-electric,0
2013,Malta,Hydrogen and fuel cells,0
2013,Malta,Bioethanol,0
2013,Malta,Biodiesel,0
2013,Malta,Bi-fuel,5
2013,Malta,Other,4
2013,Netherlands,Petroleum products,307912
2013,Netherlands,Liquefied petroleum gases (LPG),2081
2013,Netherlands,Diesel,103557
2013,Netherlands,Natural Gas,530
2013,Netherlands,Electricity,0
2013,Netherlands,Alternative Energy,5248
2013,Netherlands,Petrol (excluding hybrids),0
2013,Netherlands,Hybrid electric-petrol,43326
2013,Netherlands,Plug-in hybrid petrol-electric,0
2013,Netherlands,Diesel (excluding hybrids),103557
2013,Netherlands,Hybrid diesel-electric,0
2013,Netherlands,Plug-in hybrid diesel-electric,0
2013,Netherlands,Hydrogen and fuel cells,1
2013,Netherlands,Bioethanol,0
2013,Netherlands,Biodiesel,0
2013,Netherlands,Bi-fuel,0
2013,Netherlands,Other,2636
2013,Austria,Petroleum products,136689
2013,Austria,Liquefied petroleum gases (LPG),0
2013,Austria,Diesel,181061
2013,Austria,Natural Gas,455
2013,Austria,Electricity,654
2013,Austria,Alternative Energy,1285
2013,Austria,Petrol (excluding hybrids),134276
2013,Austria,Hybrid electric-petrol,2259
2013,Austria,Plug-in hybrid petrol-electric,154
2013,Austria,Diesel (excluding hybrids),180901
2013,Austria,Hybrid diesel-electric,130
2013,Austria,Plug-in hybrid diesel-electric,30
2013,Austria,Hydrogen and fuel cells,0
2013,Austria,Bioethanol,0
2013,Austria,Biodiesel,0
2013,Austria,Bi-fuel,176
2013,Austria,Other,0
2013,Poland,Petroleum products,449741
2013,Poland,Liquefied petroleum gases (LPG),68869
2013,Poland,Diesel,468097
2013,Poland,Natural Gas,266
2013,Poland,Electricity,793
2013,Poland,Alternative Energy,69971
2013,Poland,Petrol (excluding hybrids),0
2013,Poland,Hybrid electric-petrol,0
2013,Poland,Plug-in hybrid petrol-electric,0
2013,Poland,Diesel (excluding hybrids),0
2013,Poland,Hybrid diesel-electric,0
2013,Poland,Plug-in hybrid diesel-electric,0
2013,Poland,Hydrogen and fuel cells,8
2013,Poland,Bioethanol,16
2013,Poland,Biodiesel,0
2013,Poland,Bi-fuel,8
2013,Poland,Other,11
2013,Portugal,Petroleum products,0
2013,Portugal,Liquefied petroleum gases (LPG),0
2013,Portugal,Diesel,0
2013,Portugal,Natural Gas,0
2013,Portugal,Electricity,0
2013,Portugal,Alternative Energy,0
2013,Portugal,Petrol (excluding hybrids),0
2013,Portugal,Hybrid electric-petrol,0
2013,Portugal,Plug-in hybrid petrol-electric,0
2013,Portugal,Diesel (excluding hybrids),0
2013,Portugal,Hybrid diesel-electric,0
2013,Portugal,Plug-in hybrid diesel-electric,0
2013,Portugal,Hydrogen and fuel cells,0
2013,Portugal,Bioethanol,0
2013,Portugal,Biodiesel,0
2013,Portugal,Bi-fuel,0
2013,Portugal,Other,0
2013,Romania,Petroleum products,141921
2013,Romania,Liquefied petroleum gases (LPG),465
2013,Romania,Diesel,136673
2013,Romania,Natural Gas,99
2013,Romania,Electricity,579
2013,Romania,Alternative Energy,1146
2013,Romania,Petrol (excluding hybrids),0
2013,Romania,Hybrid electric-petrol,0
2013,Romania,Plug-in hybrid petrol-electric,0
2013,Romania,Diesel (excluding hybrids),0
2013,Romania,Hybrid diesel-electric,0
2013,Romania,Plug-in hybrid diesel-electric,0
2013,Romania,Hydrogen and fuel cells,0
2013,Romania,Bioethanol,0
2013,Romania,Biodiesel,0
2013,Romania,Bi-fuel,0
2013,Romania,Other,3
2013,Slovenia,Petroleum products,23942
2013,Slovenia,Liquefied petroleum gases (LPG),0
2013,Slovenia,Diesel,28016
2013,Slovenia,Natural Gas,0
2013,Slovenia,Electricity,0
2013,Slovenia,Alternative Energy,10
2013,Slovenia,Petrol (excluding hybrids),0
2013,Slovenia,Hybrid electric-petrol,0
2013,Slovenia,Plug-in hybrid petrol-electric,0
2013,Slovenia,Diesel (excluding hybrids),0
2013,Slovenia,Hybrid diesel-electric,0
2013,Slovenia,Plug-in hybrid diesel-electric,0
2013,Slovenia,Hydrogen and fuel cells,0
2013,Slovenia,Bioethanol,0
2013,Slovenia,Biodiesel,0
2013,Slovenia,Bi-fuel,0
2013,Slovenia,Other,0
2013,Finland,Petroleum products,64194
2013,Finland,Liquefied petroleum gases (LPG),0
2013,Finland,Diesel,38697
2013,Finland,Natural Gas,21
2013,Finland,Electricity,50
2013,Finland,Alternative Energy,2
2013,Finland,Petrol (excluding hybrids),0
2013,Finland,Hybrid electric-petrol,0
2013,Finland,Plug-in hybrid petrol-electric,0
2013,Finland,Diesel (excluding hybrids),0
2013,Finland,Hybrid diesel-electric,0
2013,Finland,Plug-in hybrid diesel-electric,0
2013,Finland,Hydrogen and fuel cells,1
2013,Finland,Bioethanol,402
2013,Finland,Biodiesel,0
2013,Finland,Bi-fuel,83
2013,Finland,Other,2
2013,Sweden,Petroleum products,108067
2013,Sweden,Liquefied petroleum gases (LPG),1
2013,Sweden,Diesel,176485
2013,Sweden,Natural Gas,1325
2013,Sweden,Electricity,452
2013,Sweden,Alternative Energy,7610
2013,Sweden,Petrol (excluding hybrids),102849
2013,Sweden,Hybrid electric-petrol,4699
2013,Sweden,Plug-in hybrid petrol-electric,519
2013,Sweden,Diesel (excluding hybrids),175422
2013,Sweden,Hybrid diesel-electric,473
2013,Sweden,Plug-in hybrid diesel-electric,590
2013,Sweden,Hydrogen and fuel cells,3
2013,Sweden,Bioethanol,1
2013,Sweden,Biodiesel,2
2013,Sweden,Bi-fuel,2545
2013,Sweden,Other,3281
2013,United Kingdom,Petroleum products,0
2013,United Kingdom,Liquefied petroleum gases (LPG),0
2013,United Kingdom,Diesel,0
2013,United Kingdom,Natural Gas,0
2013,United Kingdom,Electricity,0
2013,United Kingdom,Alternative Energy,0
2013,United Kingdom,Petrol (excluding hybrids),0
2013,United Kingdom,Hybrid electric-petrol,0
2013,United Kingdom,Plug-in hybrid petrol-electric,0
2013,United Kingdom,Diesel (excluding hybrids),0
2013,United Kingdom,Hybrid diesel-electric,0
2013,United Kingdom,Plug-in hybrid diesel-electric,0
2013,United Kingdom,Hydrogen and fuel cells,0
2013,United Kingdom,Bioethanol,0
2013,United Kingdom,Biodiesel,0
2013,United Kingdom,Bi-fuel,0
2013,United Kingdom,Other,0
2013,Liechtenstein,Petroleum products,1041
2013,Liechtenstein,Liquefied petroleum gases (LPG),0
2013,Liechtenstein,Diesel,858
2013,Liechtenstein,Natural Gas,4
2013,Liechtenstein,Electricity,14
2013,Liechtenstein,Alternative Energy,21
2013,Liechtenstein,Petrol (excluding hybrids),1000
2013,Liechtenstein,Hybrid electric-petrol,41
2013,Liechtenstein,Plug-in hybrid petrol-electric,0
2013,Liechtenstein,Diesel (excluding hybrids),857
2013,Liechtenstein,Hybrid diesel-electric,1
2013,Liechtenstein,Plug-in hybrid diesel-electric,0
2013,Liechtenstein,Hydrogen and fuel cells,0
2013,Liechtenstein,Bioethanol,0
2013,Liechtenstein,Biodiesel,0
2013,Liechtenstein,Bi-fuel,3
2013,Liechtenstein,Other,0
2013,Norway,Petroleum products,67701
2013,Norway,Liquefied petroleum gases (LPG),0
2013,Norway,Diesel,97464
2013,Norway,Natural Gas,0
2013,Norway,Electricity,9970
2013,Norway,Alternative Energy,10584
2013,Norway,Petrol (excluding hybrids),0
2013,Norway,Hybrid electric-petrol,0
2013,Norway,Plug-in hybrid petrol-electric,0
2013,Norway,Diesel (excluding hybrids),0
2013,Norway,Hybrid diesel-electric,0
2013,Norway,Plug-in hybrid diesel-electric,0
2013,Norway,Hydrogen and fuel cells,0
2013,Norway,Bioethanol,0
2013,Norway,Biodiesel,0
2013,Norway,Bi-fuel,0
2013,Norway,Other,884
2013,Switzerland,Petroleum products,191300
2013,Switzerland,Liquefied petroleum gases (LPG),0
2013,Switzerland,Diesel,116600
2013,Switzerland,Natural Gas,400
2013,Switzerland,Electricity,1400
2013,Switzerland,Alternative Energy,2300
2013,Switzerland,Petrol (excluding hybrids),185100
2013,Switzerland,Hybrid electric-petrol,6200
2013,Switzerland,Plug-in hybrid petrol-electric,0
2013,Switzerland,Diesel (excluding hybrids),115600
2013,Switzerland,Hybrid diesel-electric,1000
2013,Switzerland,Plug-in hybrid diesel-electric,0
2013,Switzerland,Hydrogen and fuel cells,0
2013,Switzerland,Bioethanol,0
2013,Switzerland,Biodiesel,0
2013,Switzerland,Bi-fuel,500
2013,Switzerland,Other,0
2013,North Macedonia,Petroleum products,8868
2013,North Macedonia,Liquefied petroleum gases (LPG),220
2013,North Macedonia,Diesel,22778
2013,North Macedonia,Natural Gas,0
2013,North Macedonia,Electricity,0
2013,North Macedonia,Alternative Energy,220
2013,North Macedonia,Petrol (excluding hybrids),8868
2013,North Macedonia,Hybrid electric-petrol,0
2013,North Macedonia,Plug-in hybrid petrol-electric,0
2013,North Macedonia,Diesel (excluding hybrids),22778
2013,North Macedonia,Hybrid diesel-electric,0
2013,North Macedonia,Plug-in hybrid diesel-electric,0
2013,North Macedonia,Hydrogen and fuel cells,0
2013,North Macedonia,Bioethanol,0
2013,North Macedonia,Biodiesel,0
2013,North Macedonia,Bi-fuel,0
2013,North Macedonia,Other,61
2013,Turkey,Petroleum products,256506
2013,Turkey,Liquefied petroleum gases (LPG),14312
2013,Turkey,Diesel,383904
2013,Turkey,Natural Gas,3
2013,Turkey,Electricity,180
2013,Turkey,Alternative Energy,14495
2013,Turkey,Petrol (excluding hybrids),256479
2013,Turkey,Hybrid electric-petrol,27
2013,Turkey,Plug-in hybrid petrol-electric,0
2013,Turkey,Diesel (excluding hybrids),383904
2013,Turkey,Hybrid diesel-electric,0
2013,Turkey,Plug-in hybrid diesel-electric,0
2013,Turkey,Hydrogen and fuel cells,0
2013,Turkey,Bioethanol,0
2013,Turkey,Biodiesel,0
2013,Turkey,Bi-fuel,0
2013,Turkey,Other,0
2014,Belgium,Petroleum products,181524
2014,Belgium,Liquefied petroleum gases (LPG),0
2014,Belgium,Diesel,303953
2014,Belgium,Natural Gas,263
2014,Belgium,Electricity,1167
2014,Belgium,Alternative Energy,2234
2014,Belgium,Petrol (excluding hybrids),173939
2014,Belgium,Hybrid electric-petrol,7585
2014,Belgium,Plug-in hybrid petrol-electric,0
2014,Belgium,Diesel (excluding hybrids),303212
2014,Belgium,Hybrid diesel-electric,741
2014,Belgium,Plug-in hybrid diesel-electric,0
2014,Belgium,Hydrogen and fuel cells,0
2014,Belgium,Bioethanol,0
2014,Belgium,Biodiesel,0
2014,Belgium,Bi-fuel,0
2014,Belgium,Other,804
2014,Denmark,Petroleum products,127172
2014,Denmark,Liquefied petroleum gases (LPG),0
2014,Denmark,Diesel,59544
2014,Denmark,Natural Gas,0
2014,Denmark,Electricity,0
2014,Denmark,Alternative Energy,0
2014,Denmark,Petrol (excluding hybrids),0
2014,Denmark,Hybrid electric-petrol,0
2014,Denmark,Plug-in hybrid petrol-electric,0
2014,Denmark,Diesel (excluding hybrids),0
2014,Denmark,Hybrid diesel-electric,0
2014,Denmark,Plug-in hybrid diesel-electric,0
2014,Denmark,Hydrogen and fuel cells,0
2014,Denmark,Bioethanol,0
2014,Denmark,Biodiesel,0
2014,Denmark,Bi-fuel,0
2014,Denmark,Other,0
2014,Germany,Petroleum products,1533726
2014,Germany,Liquefied petroleum gases (LPG),6234
2014,Germany,Diesel,1452565
2014,Germany,Natural Gas,8194
2014,Germany,Electricity,8522
2014,Germany,Alternative Energy,50482
2014,Germany,Petrol (excluding hybrids),0
2014,Germany,Hybrid electric-petrol,0
