"GEO","TIME","UNIT","NA_ITEM","Value","Flag and Footnotes"
"European Union - 28 countries (2013-2020)","1989","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1989","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1989","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1990","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1990","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1990","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1991","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1991","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1991","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1992","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1992","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1992","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1993","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1993","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1993","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1994","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1994","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1994","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 28 countries (2013-2020)","1995","Chain linked volumes, index 2010=100","Gross domestic product at market prices","75.333",""
"European Union - 28 countries (2013-2020)","1995","Current prices, million euro","Gross domestic product at market prices","7,363,577.1",""
"European Union - 28 countries (2013-2020)","1995","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,682,190.8",""
"European Union - 28 countries (2013-2020)","1996","Chain linked volumes, index 2010=100","Gross domestic product at market prices","76.737",""
"European Union - 28 countries (2013-2020)","1996","Current prices, million euro","Gross domestic product at market prices","7,751,405.2",""
"European Union - 28 countries (2013-2020)","1996","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,862,615.7",""
"European Union - 28 countries (2013-2020)","1997","Chain linked volumes, index 2010=100","Gross domestic product at market prices","79.033",""
"European Union - 28 countries (2013-2020)","1997","Current prices, million euro","Gross domestic product at market prices","8,194,015.4",""
"European Union - 28 countries (2013-2020)","1997","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,157,700.3",""
"European Union - 28 countries (2013-2020)","1998","Chain linked volumes, index 2010=100","Gross domestic product at market prices","81.500",""
"European Union - 28 countries (2013-2020)","1998","Current prices, million euro","Gross domestic product at market prices","8,585,205.6",""
"European Union - 28 countries (2013-2020)","1998","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,474,801.0",""
"European Union - 28 countries (2013-2020)","1999","Chain linked volumes, index 2010=100","Gross domestic product at market prices","83.953",""
"European Union - 28 countries (2013-2020)","1999","Current prices, million euro","Gross domestic product at market prices","9,009,367.5",""
"European Union - 28 countries (2013-2020)","1999","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,789,992.5",""
"European Union - 28 countries (2013-2020)","2000","Chain linked volumes, index 2010=100","Gross domestic product at market prices","87.144",""
"European Union - 28 countries (2013-2020)","2000","Current prices, million euro","Gross domestic product at market prices","9,667,487.4",""
"European Union - 28 countries (2013-2020)","2000","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,200,166.1",""
"European Union - 28 countries (2013-2020)","2001","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.100",""
"European Union - 28 countries (2013-2020)","2001","Current prices, million euro","Gross domestic product at market prices","10,072,480.9",""
"European Union - 28 countries (2013-2020)","2001","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,451,523.6",""
"European Union - 28 countries (2013-2020)","2002","Chain linked volumes, index 2010=100","Gross domestic product at market prices","90.221",""
"European Union - 28 countries (2013-2020)","2002","Current prices, million euro","Gross domestic product at market prices","10,427,461.2",""
"European Union - 28 countries (2013-2020)","2002","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,595,590.5",""
"European Union - 28 countries (2013-2020)","2003","Chain linked volumes, index 2010=100","Gross domestic product at market prices","91.399",""
"European Union - 28 countries (2013-2020)","2003","Current prices, million euro","Gross domestic product at market prices","10,582,873.7",""
"European Union - 28 countries (2013-2020)","2003","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,747,056.3",""
"European Union - 28 countries (2013-2020)","2004","Chain linked volumes, index 2010=100","Gross domestic product at market prices","93.671",""
"European Union - 28 countries (2013-2020)","2004","Current prices, million euro","Gross domestic product at market prices","11,109,176.6",""
"European Union - 28 countries (2013-2020)","2004","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,039,085.4",""
"European Union - 28 countries (2013-2020)","2005","Chain linked volumes, index 2010=100","Gross domestic product at market prices","95.606",""
"European Union - 28 countries (2013-2020)","2005","Current prices, million euro","Gross domestic product at market prices","11,598,046.5",""
