time,country,motor,value
2014,Denmark,hybrid,0
2014,Germany,petroleum,1533726
2014,Germany,other,41960
2014,Germany,diesel,1452565
2014,Germany,electricity,8522
2014,Germany,hybrid,0
2014,Estonia,petroleum,13054
2014,Estonia,other,17
2014,Estonia,diesel,7726
2014,Estonia,electricity,331
2014,Estonia,hybrid,311
2014,Ireland,petroleum,21067
2014,Ireland,other,958
2014,Ireland,diesel,61917
2014,Ireland,electricity,194
2014,Ireland,hybrid,0
2014,Spain,petroleum,297176
2014,Spain,other,1408
2014,Spain,diesel,590360
2014,Spain,electricity,1181
2014,Spain,hybrid,8478
2014,France,petroleum,623201
2014,France,other,2634
2014,France,diesel,1129453
2014,France,electricity,10567
2014,France,hybrid,43178
2014,Croatia,petroleum,16690
2014,Croatia,other,924
2014,Croatia,diesel,50861
2014,Croatia,electricity,47
2014,Croatia,hybrid,0
2014,Italy,petroleum,0
2014,Italy,other,0
2014,Italy,diesel,0
2014,Italy,electricity,0
2014,Italy,hybrid,0
2014,Cyprus,petroleum,12142
2014,Cyprus,other,0
2014,Cyprus,diesel,5782
2014,Cyprus,electricity,9
2014,Cyprus,hybrid,303
2014,Latvia,petroleum,5759
2014,Latvia,other,211
2014,Latvia,diesel,7029
2014,Latvia,electricity,174
2014,Latvia,hybrid,1
2014,Lithuania,petroleum,35029
2014,Lithuania,other,713
2014,Lithuania,diesel,100310
2014,Lithuania,electricity,46
2014,Lithuania,hybrid,0
2014,Hungary,petroleum,70185
2014,Hungary,other,2407
2014,Hungary,diesel,91757
2014,Hungary,electricity,71
2014,Hungary,hybrid,0
2014,Malta,petroleum,9614
2014,Malta,other,64
2014,Malta,diesel,5768
2014,Malta,electricity,30
2014,Malta,hybrid,37
2014,Netherlands,petroleum,275420
2014,Netherlands,other,7135
2014,Netherlands,diesel,105014
2014,Netherlands,electricity,0
2014,Netherlands,hybrid,26727
2014,Austria,petroleum,128670
2014,Austria,other,793
2014,Austria,diesel,172574
2014,Austria,electricity,1281
2014,Austria,hybrid,2360
2014,Poland,petroleum,502339
2014,Poland,other,72383
2014,Poland,diesel,470967
2014,Poland,electricity,1909
2014,Poland,hybrid,0
2014,Portugal,petroleum,0
2014,Portugal,other,0
2014,Portugal,diesel,0
2014,Portugal,electricity,0
2014,Portugal,hybrid,0
2014,Romania,petroleum,0
2014,Romania,other,0
2014,Romania,diesel,0
2014,Romania,electricity,0
2014,Romania,hybrid,0
2014,Slovenia,petroleum,23916
2014,Slovenia,other,394
2014,Slovenia,diesel,29763
2014,Slovenia,electricity,13
2014,Slovenia,hybrid,0
2014,Finland,petroleum,64181
2014,Finland,other,467
2014,Finland,diesel,41404
2014,Finland,electricity,183
2014,Finland,hybrid,2574
2014,Sweden,petroleum,126019
2014,Sweden,other,7747
2014,Sweden,diesel,188998
2014,Sweden,electricity,1266
2014,Sweden,hybrid,10470
2014,United Kingdom,petroleum,0
2014,United Kingdom,other,0
2014,United Kingdom,diesel,0
2014,United Kingdom,electricity,0
2014,United Kingdom,hybrid,0
2014,Liechtenstein,petroleum,979
2014,Liechtenstein,other,3
2014,Liechtenstein,diesel,800
2014,Liechtenstein,electricity,18
2014,Liechtenstein,hybrid,39
2014,Norway,petroleum,62997
2014,Norway,other,154
2014,Norway,diesel,87738
2014,Norway,electricity,21153
2014,Norway,hybrid,0
2014,Switzerland,petroleum,187000
2014,Switzerland,other,1100
2014,Switzerland,diesel,113300
2014,Switzerland,electricity,1900
2014,Switzerland,hybrid,6900
2014,North Macedonia,petroleum,0
2014,North Macedonia,other,0
2014,North Macedonia,diesel,0
2014,North Macedonia,electricity,0
2014,North Macedonia,hybrid,0
2014,Turkey,petroleum,210168
2014,Turkey,other,11341
2014,Turkey,diesel,364242
2014,Turkey,electricity,63
2014,Turkey,hybrid,28
2015,Belgium,petroleum,198299
2015,Belgium,other,787
2015,Belgium,diesel,305838
2015,Belgium,electricity,1360
2015,Belgium,hybrid,10845
2015,Denmark,petroleum,137698
2015,Denmark,other,0
2015,Denmark,diesel,64203
2015,Denmark,electricity,0
2015,Denmark,hybrid,0
2015,Germany,petroleum,1611389
2015,Germany,other,43839
2015,Germany,diesel,1538451
2015,Germany,electricity,12363
2015,Germany,hybrid,0
2015,Estonia,petroleum,14069
2015,Estonia,other,16
2015,Estonia,diesel,6949
2015,Estonia,electricity,30
2015,Estonia,hybrid,351
2015,Ireland,petroleum,35311
2015,Ireland,other,1718
2015,Ireland,diesel,92436
2015,Ireland,electricity,494
2015,Ireland,hybrid,0
2015,Spain,petroleum,394777
2015,Spain,other,2545
2015,Spain,diesel,694161
2015,Spain,electricity,2634
2015,Spain,hybrid,7275
2015,France,petroleum,777645
2015,France,other,1912
2015,France,diesel,1089403
2015,France,electricity,17269
2015,France,hybrid,60497
2015,Croatia,petroleum,16311
2015,Croatia,other,983
2015,Croatia,diesel,56807
2015,Croatia,electricity,80
2015,Croatia,hybrid,0
2015,Italy,petroleum,0
2015,Italy,other,1467
2015,Italy,diesel,0
2015,Italy,electricity,0
2015,Italy,hybrid,0
2015,Cyprus,petroleum,14786
2015,Cyprus,other,0
2015,Cyprus,diesel,6667
2015,Cyprus,electricity,9
2015,Cyprus,hybrid,387
2015,Latvia,petroleum,7211
2015,Latvia,other,140
2015,Latvia,diesel,6923
2015,Latvia,electricity,17
2015,Latvia,hybrid,9
2015,Lithuania,petroleum,33550
2015,Lithuania,other,930
2015,Lithuania,diesel,97813
2015,Lithuania,electricity,106
2015,Lithuania,hybrid,793
2015,Hungary,petroleum,92477
